k,silhouette_score
2,0.05627902273652355
3,0.06277930821573714
4,0.07162572467159285
5,0.07381586995536252
6,0.08236175145105955
7,0.07802530347277435
8,0.09298002217894569
9,0.09854386531152977
10,0.10198548400455812
