k,silhouette,inertia
2,0.06799187356515826,1453442.0988224954
3,0.07382515118065032,1416987.3548501986
4,0.07118376704069182,1381109.9978293893
5,0.08946387897091977,1341780.4110666895
6,0.1007002733322837,1304031.2991034533
7,0.09406726101232836,1269914.1968717694
8,0.10769069851944202,1236738.85981734
9,0.12185715467256304,1194454.818488267
10,0.11598460185503032,1165664.3838562823
